FacilityName,FacilityAddress,Violation,Disposition,DispositionDate
FLOWER CHILD,"10072 DARNESTOWN RD. , ROCKVILLE, MD 20860",SALE TO MINOR,SETTLED;$1000+ALERT,03/05/2019
BUFFALO WILD WINGS,"33 MARYLAND AVE. , ROCKVILLE, MD 20850",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,08/21/2019
"TACOS, TORTAS & TEQUILA","8407 RAMSEY AVE. , SILVER SPRING, MD 20910",LICENSE NOT PROPERLY DISPLAYED,SETTLED; 100+ ALERT,04/03/2019
THE SPOT,"255 NORTH WASHINGTON ST. , ROCKVILLE, MD 20850",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED;$500+ALERT,08/06/2019
THE SPOT,"255 NORTH WASHINGTON ST. , ROCKVILLE, MD 20850",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,08/06/2019
DON POLLO OF POTOMAC,"10231 WESTLAKE DR. , BETHESDA, MD 20817",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED;$500+ALERT,03/26/2019
FRIENDSHIP GOURMET MARKET,"5550 FRIENDSHIP BLVD , CHEVY CHASE , MARYLAND - 20815",5.7 DISPLAY OF LICENSE,SETTLED $100 +ALERT,01/14/2022
GORDON BIERSCH BREWERY RESTAURANT,"200 EAST MIDDLE LANE UNIT A, ROCKVILLE, MD 20850",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500+ALERT,03/25/2019
TALBOTT BEER & WINE,"1071 ROCKVILLE PIKE , ROCKVILLE, MD 20852",SALE TO MINOR,"TWO WEEK SUSPENSION FROM MAY 13-26, 2019",10/15/2018
ARMAND'S PIZZERIA & GRILLE,"190 HALPINE ROAD , ROCKVILLE, MD 20852",SALE TO MINOR,SETTLED;$1000+ALERT,03/04/2019
GUAPOS II,"8130 WISCONSIN AVE. , BETHESDA, MD 20814",REFILLING EMPTY/PARTIALLY EMPTY ALCOHOLIC BOTTLES,SETTLED;$800+ALERT,03/27/2019
GIUSEPPI'S PIZZA PLUS,"335 KENTLANDS BLVD. , GAITHERSBURG, MD 20878",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,04/12/2019
GUAPOS II,"8130 WISCONSIN AVE. , BETHESDA, MD 20814",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,03/27/2019
GYROLAND,"1701 ROCKVILLE PIKE B-3, ROCKVILLE, MD 20852",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,10/09/2019
SUPER CHICKEN,"2531 ENNALLS AVE. , WHEATON, MD 20902",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,07/29/2019
LIFETIME ATHLETIC,"10121 WASHINGTONIAN BLVD , GAITHERSBURG, MD 20878",STORAGE,SETTLED;$2900+ALERT,07/29/2019
OWENS ORDINARY,"11820 TRADE STREET , NORTH BETHESDA, MD 20852",SELLING/SERVING ALCOHOL AFTER PERMITTED HOURS,WARNING+ALERT,11/02/2018
THE SPOT,"255 NORTH WASHINGTON ST. , ROCKVILLE, MD 20850",SALE TO MINOR,SETTLED;$1000+ALERT,08/06/2019
KALDI'S COFFEE,"918 SILVER SPRING AVENUE , SILVER SPRING, MD 20910",LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,05/01/2019
ETHIO ADDIS MARKET,"8107 FENTON STREET , SILVER SPRING, MD 20910",LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,05/01/2019
THAT'S AMORE,"15201 SHADY GROVE ROAD , ROCKVILLE, MD 20850",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$500+ALERT,04/09/2019
TRAPEZARIA MEDITERRANEAN KUZINA,"11 NORTH WASHINGTON STREET , ROCKVILLE, MD 20850",STORAGE,SETTLED;$400+ALERT,03/08/2019
