,FacilityName,Violation,DispositionDate,fines,non_alert_disposition_type,license_revoked,alert,Address,City,State,Zip
0,FLOWER CHILD,Sale To Minor,03/05/2019,1000.0,setttled,0,1,10072 DARNESTOWN RD.,ROCKVILLE,MD,20860
1,BUFFALO WILD WINGS,Alcohol Awareness Certified Person Not On Premises,08/21/2019,100.0,setttled,0,1,33 MARYLAND AVE.,ROCKVILLE,MD,20850
2,"TACOS, TORTAS & TEQUILA",License Not Properly Displayed,04/03/2019,100.0,setttled,0,1,8407 RAMSEY AVE.,SILVER SPRING,MD,20910
3,THE SPOT,Employee Records Not Available When Requested,08/06/2019,500.0,setttled,0,1,255 NORTH WASHINGTON ST.,ROCKVILLE,MD,20850
4,THE SPOT,Alcohol Awareness Certified Person Not On Premises,08/06/2019,100.0,setttled,0,1,255 NORTH WASHINGTON ST.,ROCKVILLE,MD,20850
5,DON POLLO OF POTOMAC,Employee Records Not Available When Requested,03/26/2019,500.0,setttled,0,1,10231 WESTLAKE DR.,BETHESDA,MD,20817
6,FRIENDSHIP GOURMET MARKET,Display Of License,01/14/2022,100.0,setttled,0,1,5550 FRIENDSHIP BLVD,CHEVY CHASE,MD,20815
7,GORDON BIERSCH BREWERY RESTAURANT,Alcohol Awareness Certified Person Not On Premises,03/25/2019,500.0,setttled,0,1,200 EAST MIDDLE LANE UNIT A,ROCKVILLE,MD,20850
8,TALBOTT BEER & WINE,Sale To Minor,10/15/2018,0.0,suspension,0,0,1071 ROCKVILLE PIKE,ROCKVILLE,MD,20852
9,ARMAND'S PIZZERIA & GRILLE,Sale To Minor,03/04/2019,1000.0,setttled,0,1,190 HALPINE ROAD,ROCKVILLE,MD,20852
10,GUAPOS II,Refilling Empty/Partially Empty Alcoholic Bottles,03/27/2019,800.0,setttled,0,1,8130 WISCONSIN AVE.,BETHESDA,MD,20814
11,GIUSEPPI'S PIZZA PLUS,Alcohol Awareness Certified Person Not On Premises,04/12/2019,100.0,setttled,0,1,335 KENTLANDS BLVD.,GAITHERSBURG,MD,20878
12,GUAPOS II,Alcohol Awareness Certified Person Not On Premises,03/27/2019,100.0,setttled,0,1,8130 WISCONSIN AVE.,BETHESDA,MD,20814
13,GYROLAND,Alcohol Awareness Certified Person Not On Premises,10/09/2019,100.0,setttled,0,1,1701 ROCKVILLE PIKE B3,ROCKVILLE,MD,20852
14,SUPER CHICKEN,Alcohol Awareness Certified Person Not On Premises,07/29/2019,100.0,setttled,0,1,2531 ENNALLS AVE.,WHEATON,MD,20902
15,LIFETIME ATHLETIC,Storage,07/29/2019,2900.0,setttled,0,1,10121 WASHINGTONIAN BLVD,GAITHERSBURG,MD,20878
16,OWENS ORDINARY,Alcohol After Permitted Hours,11/02/2018,0.0,none,0,1,11820 TRADE STREET,NORTH BETHESDA,MD,20852
